Aidat,Banyo Sayısı,Bina Yaşı,Brüt / Net M2,Bulunduğu Kat,Depozito,Eşya Durumu,Fiyat,Isınma Tipi,Kat Sayısı,Konut Şekli,Kullanım Durumu,Oda + Salon Sayısı,Son Güncelleme Tarihi,Yakıt Tipi,Yapı Tipi,Yapının Durumu,İlan Durumu,İlan no,Cephe ,Site İçerisinde,Krediye Uygunluk,Takas,Tapu Durumu,Kira Getirisi
30 TL,1,12 Yaşında,130 m2,3. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,3 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,60186-3089,,,,,,
35 TL,1,17 Yaşında,135 m2,3. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,12 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,76774-2710,"Kuzey, ",,,,,
50 TL,1,35 Yaşında,125 m2,5. Kat,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,6 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,65633-676,"Güney, ",,,,,
30 TL,1,17 Yaşında,100 m2,Yüksek Giriş,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,76774-2709,"Güney, ",,,,,
1 TL,1,Sıfır Bina,70 m2,Yüksek Giriş,"2,600 TL",Eşyalı,"
2,600 TL
",Merkezi,4 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,37563-3812,"Güney, ",,,,,
,1,50 Yaşında,90 m2,1. Kat,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Kombi,3 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1124-5096,Batı,,,,,
,1,45 Yaşında,90 m2,Kot 1,"1,400 TL",Eşyalı Değil,"
1,400 TL
",Kombi,4 Katlı,Daire,Ev Sahibi Oturuyor,2 + 120,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1124-5124,"Kuzey, ",,,,,
50 TL,1,20 Yaşında,170 m2,2. Kat,"1,950 TL",Eşyalı Değil,"
1,950 TL
",Kombi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,114252-83,"Güney, ",,,,,
240 TL,1,21 Yaşında,80 m2,Giriş Katı,"5,400 TL",Eşyalı Değil,"
2,350 TL
",Merkezi,4 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,3584-25952,"Güney, ",,,,,
465 TL,1,10 Yaşında,85 m2,3. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Merkezi (Pay Ölçer),7 Katlı,Daire,Boş,1 + 1,2 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,5338-6703,"Güney, ",PARK LİMA,,,,
200 TL,1,Sıfır Bina,110 m2,3. Kat,"3,000 TL",Eşyalı Değil,"
3,000 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,2 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,29144-903,Güney,,,,,
40 TL,1,3 Yaşında,125 m2,Yüksek Giriş,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,2 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,122387-9,"Güney, ",,,,,
25 TL,1,2 Yaşında,60 m2,2. Kat,"1,250 TL",Eşyalı,"
1,250 TL
",Kombi,2 Katlı,Daire,Boş,1 + 1,2 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,90826-276,Doğu,,,,,
475 TL,2,7 Yaşında,225 m2,15. Kat,,Eşyalı Değil,"
4,600 TL
",Merkezi (Pay Ölçer),27 Katlı,Daire,Boş,4 + 1,3 Gün Önce,Doğalgaz,Betonarme,,Kiralık,40409-3694,"Kuzey, ",HAYALPARK EVLERİ,,,,
,1,10 Yaşında,150 m2,Ara Kat,,Eşyalı Değil,"
8,500 TL
",Merkezi (Pay Ölçer),32 Katlı,Daire,,4 + 2,70 Gün Önce,,,,Kiralık,4129-1384,,,,,,
"1,700 TL",5,5 Yaşında,256 m2,21 ve üzeri,,Eşyalı Değil,"
20,000 TL
",Merkezi,30 Katlı,Daire,,5 + 1,11 Gün Önce,,,,Kiralık,4129-1620,,,,,,
75 TL,1,Sıfır Bina,75 m2,2. Kat,,Eşyalı Değil,"
2,600 TL
",Kombi,3 Katlı,Daire,Boş,1 + 1,3 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,114144-570,Doğu,,,,,
150 TL,2,15 Yaşında,220 m2,1. Kat,"10,000 TL",Eşyalı,"
5,000 TL
",Kombi,4 Katlı,Daire,Boş,4 + 1,139 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,6632-1700,"Güney, ",,,,,
580 TL,1,40 Yaşında,125 m2,3. Kat,"6,000 TL",Eşyalı,"
3,200 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,22 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,6632-1720,"Güney, ",,,,,
,2,35 Yaşında,140 m2,Yüksek Giriş,"2,500 TL",Eşyalı,"
2,450 TL
",Merkezi,5 Katlı,Daire,Boş,3 + 1,45 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,6632-1365,"Güney, ",,,,,
110 TL,1,25 Yaşında,120 m2,2. Kat,"2,000 TL",Eşyalı Değil,"
1,850 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,103 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,6632-1699,"Kuzey, ",,,,,
400 TL,2,1 Yaşında,130 m2,1. Kat,"5,000 TL",Eşyalı Değil,"
3,250 TL
",Merkezi (Pay Ölçer),27 Katlı,Daire,Boş,2 + 1,4 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,113838-376,"Kuzey, ",DURU BEYTEPE,,,,
,2,Sıfır Bina,210 m2,7. Kat,"10,500 TL",Eşyalı Değil,"
4,250 TL
",Merkezi (Pay Ölçer),16 Katlı,Daire,Boş,4 + 1,157 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,63021-5978,"Güney, ",BAŞKENT EMLAK KONUTLARI,,,,
,1,Sıfır Bina,65 m2,2. Kat,,Eşyalı Değil,"
3,000 TL
",Kombi,3 Katlı,Daire,,1 + 1,7 Gün Önce,,,,Kiralık,16512-2108,,,,,,
,1,Sıfır Bina,90 m2,2. Kat,,Eşyalı Değil,"
2,700 TL
",Kombi,4 Katlı,Daire,,1 + 1,11 Gün Önce,,,,Kiralık,16512-2102,,,,,,
40 TL,1,26 Yaşında,110 m2,1. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Kombi,3 Katlı,Daire,Kiracı Oturuyor,3 + 1,21 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,11853-1008,"Güney, ",,,,,
400 TL,2,30 Yaşında,120 m2,2. Kat,"1,750 TL",Eşyalı Değil,"
1,750 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,4 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,42363-873,"Güney, ",,,,,
300 TL,1,35 Yaşında,110 m2,Kot 2,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,7 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,114252-89,Batı,,,,,
330 TL,1,3 Yaşında,65 m2,Ara Kat,,Eşyalı Değil,"
2,150 TL
",Merkezi (Pay Ölçer),34 Katlı,Residence,Kiracı Oturuyor,1 + 1,131 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,111219-299,"Kuzey, ",İNCEK VİSTA,,,,
320 TL,1,1 Yaşında,109 m2,12. Kat,"6,000 TL",Eşyalı Değil,"
3,000 TL
",Merkezi (Pay Ölçer),39 Katlı,Daire,Boş,1 + 1,6 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,16177-1184,Batı,SİNPAŞ MARİNA TOWER,Uygun,Hayır,Kat Mülkiyeti,
,1,4 Yaşında,70 m2,8. Kat,,Eşyalı,"
2,750 TL
",Merkezi (Pay Ölçer),14 Katlı,Daire,Boş,1 + 1,25 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,1740-615,,ALTINORAN,,,,
570 TL,2,Sıfır Bina,110 m2,12. Kat,"5,000 TL",Eşyalı Değil,"
2,650 TL
",Merkezi (Pay Ölçer),20 Katlı,Daire,Boş,2 + 1,5 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,16177-1441,Doğu,BAŞKENT EMLAKKONUT,,,,
35 TL,1,17 Yaşında,135 m2,3. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,45 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,76774-2692,Batı,,,,,
50 TL,1,40 Yaşında,100 m2,2. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,6 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,26491-2995,"Güney, ",,,,,
100 TL,2,17 Yaşında,125 m2,3. Kat,"1,300 TL",Eşyalı Değil,"
1,300 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,8 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,22551-1083,Batı,Evet (Site Adı Belirtilmemiş),,,,
70 TL,1,17 Yaşında,140 m2,2. Kat,"2,000 TL",Eşyalı Değil,"
1,750 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,93678-7282,"Güney, ",,,,,
100 TL,1,1 Yaşında,165 m2,4. Kat,"2,800 TL",Eşyalı Değil,"
2,700 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2626-9228,"Güney, ",,,,,
20 TL,1,20 Yaşında,125 m2,1. Kat,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-1035,Güney,,,,,
400 TL,2,12 Yaşında,170 m2,8. Kat,"3,100 TL",Eşyalı Değil,"
3,100 TL
",Kombi,9 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,56708-862,"Güney, ",PARK LOPELYA SİTESİ,,,,
275 TL,1,22 Yaşında,90 m2,4. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Merkezi,4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,10975-1225,"Doğu, ",,,,,
50 TL,1,33 Yaşında,95 m2,3. Kat,"1,500 TL",Eşyalı Değil,"
1,400 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,,Betonarme,,Kiralık,5934-2973,"Güney, ",,,,,
280 TL,1,20 Yaşında,75 m2,Bahçe Katı,"1,400 TL",Eşyalı,"
1,400 TL
",Merkezi,5 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,46993-914,"Güney, ",,,,,
100 TL,1,19 Yaşında,120 m2,3. Kat,"1,500 TL",Eşyalı Değil,"
1,300 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,19037-5778,Güney,,,,,
20 TL,1,30 Yaşında,105 m2,1. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-1027,Doğu,,,,,
220 TL,1,2 Yaşında,66 m2,10. Kat,,Eşyalı,"
1,900 TL
",Merkezi (Pay Ölçer),15 Katlı,Residence,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6948-6671,Batı,AP ISTGATE,,,,
170 TL,1,20 Yaşında,160 m2,4. Kat,"3,000 TL",Eşyalı Değil,"
2,350 TL
",Kombi,9 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,19258-3798,"Doğu, ",Evet (Site Adı Belirtilmemiş),,,,
,2,Sıfır Bina,192 m2,6. Kat,"8,000 TL",Eşyalı Değil,"
3,800 TL
",Merkezi,12 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,79082-735,Kuzey,BAŞKENT EMLAK KONUTLARI ,,,,
665 TL,1,40 Yaşında,165 m2,4. Kat,"3,000 TL",Eşyalı Değil,"
3,000 TL
",Merkezi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2418-1984,"Kuzey, ",,,,,
,1,21 Yaşında,89 m2,3. Kat,"1,400 TL",Eşyalı,"
1,400 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16744-18939,"Kuzey, ",Soyak Blokları,,,,
50 TL,2,23 Yaşında,220 m2,3. Kat,"1,650 TL",Eşyalı Değil,"
1,650 TL
",Kombi,3 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,31522-10837,"Kuzey, ",,,,,
20 TL,1,30 Yaşında,70 m2,Giriş Katı,675 TL,Eşyalı Değil,"
675 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-1049,"Kuzey, ",,,,,
570 TL,2,19 Yaşında,165 m2,Giriş Katı,"4,200 TL",Eşyalı Değil,"
2,100 TL
",Merkezi,7 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,43940-1378,"Kuzey, ",MİLENYUM SİTESİ,,,,
250 TL,1,20 Yaşında,160 m2,4. Kat,"1,400 TL",Eşyalı Değil,"
1,400 TL
",Merkezi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,8545-1117,"Güney, ",Evet (Site Adı Belirtilmemiş),,,,
,1,15 Yaşında,120 m2,2. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,118347-269,Doğu,,,,,
840 TL,2,12 Yaşında,165 m2,9. Kat,"7,000 TL",Eşyalı,"
7,000 TL
",Merkezi,13 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1133-3665,"Güney, ",Zirvekent,,,,
100 TL,1,20 Yaşında,130 m2,3. Kat,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1264-4860,"Kuzey, ",Evet (Site Adı Belirtilmemiş),,,,
50 TL,1,30 Yaşında,115 m2,4. Kat,"2,000 TL",Eşyalı,"
1,500 TL
",Kombi,4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,30908-597,"Kuzey, ",,,,,
50 TL,1,11 Yaşında,135 m2,Kot 2,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,8053-2422,"Güney, ",,,,,
30 TL,1,10 Yaşında,135 m2,2. Kat,"1,500 TL",Eşyalı Değil,"
1,300 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,56871-2329,"Güney, ",,,,,
5 TL,1,30 Yaşında,70 m2,,"1,000 TL",Eşyalı,"
1,000 TL
",Kombi,3 Katlı,Müstakil Ev,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,38672-2474,"Güney, ",,,,,
200 TL,1,25 Yaşında,125 m2,8. Kat,"1,850 TL",Eşyalı Değil,"
1,850 TL
",Kombi,10 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,8006-129,"Doğu, ",oral82,,,,
360 TL,1,35 Yaşında,120 m2,3. Kat,"2,300 TL",Eşyalı Değil,"
2,300 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16512-1778,"Doğu, ",,Uygun,Hayır,Kat Mülkiyeti,"2,500 TL"
40 TL,1,30 Yaşında,125 m2,Kot 1,"1,750 TL",Eşyalı Değil,"
1,600 TL
",Kombi,3 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,46993-877,"Güney, ",,,,,
,1,Sıfır Bina,135 m2,3. Kat,,Eşyalı Değil,"
950 TL
",Kombi,12 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,111653-701,"Kuzey, ",,,,,
20 TL,1,30 Yaşında,90 m2,1. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,3 Katlı,Bina,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-1010,Güney,,,,,
15 TL,1,30 Yaşında,118 m2,,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,2 Katlı,Bina,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-855,"Güney, ",,,,,
,1,45 Yaşında,125 m2,2. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1190-3685,Batı,,,,,
195 TL,1,7 Yaşında,116 m2,Yüksek Giriş,"1,100 TL",Eşyalı,"
1,000 TL
",Merkezi (Pay Ölçer),14 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,23862-12330,"Güney, ",3.Etap,,,,
190 TL,1,2 Yaşında,90 m2,11. Kat,"1,950 TL",Eşyalı Değil,"
1,950 TL
",Merkezi (Pay Ölçer),17 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6792-3440,,HİTTOWN,,,,
50 TL,1,10 Yaşında,105 m2,Yüksek Giriş,"2,700 TL",Eşyalı Değil,"
1,350 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,3581-3718,Doğu,,,,,
50 TL,1,30 Yaşında,115 m2,Yüksek Giriş,850 TL,Eşyalı Değil,"
850 TL
",Kombi,4 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-937,Batı,,,,,
,1,22 Yaşında,110 m2,1. Kat,"1,500 TL",Eşyalı Değil,"
1,600 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,17197-1897,"Güney, ",,,,,
350 TL,2,11 Yaşında,182 m2,21 ve üzeri,"10,000 TL",Eşyalı Değil,"
5,000 TL
",Merkezi,25 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,3920-8583,"Kuzey, ",Hayatsebla Evleri,,,,
,1,7 Yaşında,110 m2,3. Kat,,Eşyalı Değil,"
825 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,67759-3178,,,,,,
375 TL,1,19 Yaşında,92 m2,12. Kat,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Merkezi,14 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17314-1332,"Kuzey, ",SUTEK SİTESİ,,,,
,2,11 Yaşında,140 m2,4. Kat,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1300-5411,"Kuzey, ",,,,,
,1,22 Yaşında,135 m2,Yüksek Giriş,900 TL,Eşyalı Değil,"
900 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22699,Batı,,,,,
,1,45 Yaşında,130 m2,2. Kat,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1190-3608,Batı,,,,,
40 TL,1,18 Yaşında,100 m2,Yüksek Giriş,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,112435-1572,"Güney, ",,,,,
50 TL,2,15 Yaşında,160 m2,2. Kat,"3,500 TL",Eşyalı Değil,"
1,750 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,19464-3039,Batı,,,,,
,1,18 Yaşında,160 m2,2. Kat,"1,550 TL",Eşyalı Değil,"
1,550 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22694,Batı,,,,,
,1,2 Yaşında,85 m2,Yüksek Giriş,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Kombi,4 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,,Betonarme,,Kiralık,5934-2965,"Güney, ",,,,,
