Aidat,Banyo Sayısı,Bina Yaşı,Brüt / Net M2,Bulunduğu Kat,Depozito,Eşya Durumu,Fiyat,Isınma Tipi,Kat Sayısı,Konut Şekli,Kullanım Durumu,Oda + Salon Sayısı,Son Güncelleme Tarihi,Yakıt Tipi,Yapı Tipi,Yapının Durumu,İlan Durumu,İlan no,Cephe ,Site İçerisinde,Krediye Uygunluk,Takas,Tapu Durumu,Kira Getirisi
,1,38 Yaşında,85 m2,2. Kat,,Eşyalı Değil,"
850 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,8767-2349,Kuzey,,,,,
150 TL,2,10 Yaşında,130 m2,2. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,7 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,2626-9223,"Güney, ",Evet (Site Adı Belirtilmemiş),,,,
30 TL,1,30 Yaşında,115 m2,2. Kat,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-956,"Kuzey, ",,,,,
25 TL,1,38 Yaşında,60 m2,Giriş Katı,"2,000 TL",Eşyalı,"
1,250 TL
",Kombi,2 Katlı,Daire,Boş,1 + 1,Dün,Doğalgaz,Kagir,İkinci El,Kiralık,2120-440,Batı,,,,,
450 TL,1,32 Yaşında,110 m2,Kot 1,"1,800 TL",Eşyalı Değil,"
1,800 TL
",Merkezi,4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,9595-2272,"Kuzey, ",,,,,
50 TL,1,20 Yaşında,95 m2,Kot 2,"1,250 TL",Eşyalı,"
1,250 TL
",Kombi,5 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5274-2626,Batı,,,,,
825 TL,2,28 Yaşında,226 m2,1. Kat,,Eşyalı Değil,"
3,900 TL
",Merkezi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,57012-5553,"Kuzey, ",,,,,
50 TL,1,35 Yaşında,100 m2,10. Kat,"2,500 TL",Eşyalı Değil,"
1,800 TL
",Kombi,14 Katlı,Daire,Boş,2 + 1,Dün,,,,Kiralık,15279-482,"Kuzey, ",,,,,
,2,5 Yaşında,200 m2,Giriş Katı,,Eşyalı,"
4,950 TL
",Merkezi (Pay Ölçer),10 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,57012-5409,"Kuzey, ",YAKUT PARK,,,,
50 TL,1,11 Yaşında,110 m2,Kot 1,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,70180-2932,Güney,,,,,
100 TL,1,5 Yaşında,90 m2,Bahçe Katı,,Eşyalı Değil,"
2,150 TL
",Kombi,3 Katlı,Daire,,2 + 1,Bugün,,,,Kiralık,16512-2092,,,,,,
50 TL,1,14 Yaşında,130 m2,Kot 1,"1,175 TL",Eşyalı Değil,"
1,200 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,7705-4576,Batı,,,,,
100 TL,3,Sıfır Bina,280 m2,2. Kat,"5,000 TL",Eşyalı Değil,"
4,500 TL
",Kombi,2 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,63728-2486,"Güney, ",,,,,
475 TL,1,35 Yaşında,125 m2,4. Kat,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Merkezi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,1170-4901,"Kuzey, ",KIRLANGIÇ EVLERİ,,,,
450 TL,1,40 Yaşında,125 m2,2. Kat,"4,000 TL",Eşyalı Değil,"
2,000 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Yığma,İkinci El,Kiralık,11065-1651,"Kuzey, ",,,,,
50 TL,2,16 Yaşında,155 m2,2. Kat,"2,500 TL",Eşyalı Değil,"
2,000 TL
",Kombi,5 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,96629-520,"Kuzey, ",,,,,
,1,35 Yaşında,130 m2,3. Kat,"1,750 TL",Eşyalı Değil,"
1,750 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,73240-1587,"Kuzey, ",,,,,
150 TL,1,7 Yaşında,151 m2,3. Kat,"1,850 TL",Eşyalı Değil,"
1,850 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,8316-1903,"Güney, ",,,,,
750 TL,2,15 Yaşında,160 m2,Ara Kat,"9,300 TL",Eşyalı,"
9,300 TL
",Merkezi,10 Katlı,Daire,,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4337-2635,"Güney, ",Mesa Akasya,,,,
70 TL,1,10 Yaşında,120 m2,3. Kat,"1,800 TL",Eşyalı,"
1,800 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4110-2054,"Güney, ",,,,,
30 TL,1,45 Yaşında,85 m2,,"4,000 TL",Eşyalı,"
2,850 TL
",Kombi,,Daire,Boş,2 + 1,Bugün,Doğalgaz,,İkinci El,Kiralık,87775-386,"Kuzey, ",,,,,
50 TL,1,16 Yaşında,135 m2,2. Kat,"1,650 TL",Eşyalı Değil,"
1,650 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,99900-699,"Güney, ",,,,,
450 TL,1,28 Yaşında,145 m2,Yüksek Giriş,"2,600 TL",Eşyalı Değil,"
2,600 TL
",Merkezi,4 Katlı,Daire,Kiracı Oturuyor,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,4367-5134,"Güney, ",,,,,
350 TL,3,8 Yaşında,215 m2,14. Kat,"9,000 TL",Eşyalı Değil,"
4,500 TL
",Merkezi (Pay Ölçer),14 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,3044-2641,"Güney, ",CRYSTAL TOWERS,,,,
160 TL,1,10 Yaşında,120 m2,4. Kat,675 TL,Eşyalı Değil,"
 675 TL
",Merkezi (Pay Ölçer),10 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,39997-4039,"Güney, ",,,,,
50 TL,1,35 Yaşında,75 m2,Kot 1,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,5 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5235-8521,"Güney, ",,,,,
,2,2 Yaşında,160 m2,3. Kat,,Eşyalı Değil,"
1,200 TL
",Kombi,6 Katlı,Daire,,3 + 1,Bugün,Doğalgaz,,,Kiralık,41594-1485,"Güney, ",,,,,
,2,7 Yaşında,152 m2,3. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Kombi,9 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,111749-789,,Evet (Site Adı Belirtilmemiş),,,,
150 TL,1,35 Yaşında,55 m2,Bahçe Katı,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Merkezi,3 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4209-1961,"Güney, ",,,,,
,2,18 Yaşında,200 m2,4. Kat,"2,750 TL",Eşyalı Değil,"
2,750 TL
",Kombi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,49844-2220,"Kuzey, ",,,,,
250 TL,1,25 Yaşında,100 m2,Yüksek Giriş,"1,700 TL",Eşyalı,"
1,700 TL
",Merkezi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1300-5410,"Kuzey, ",,,,,
360 TL,1,2 Yaşında,65 m2,1. Kat,"6,300 TL",Eşyalı,"
6,000 TL
",Merkezi (Pay Ölçer),5 Katlı,Daire,Boş,1 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,46993-890,"Güney, ",,,,,
30 TL,1,20 Yaşında,85 m2,Kot 1,800 TL,Eşyalı Değil,"
800 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,46649-9225,,,,,,
25 TL,1,10 Yaşında,145 m2,1. Kat,"1,000 TL",Eşyalı Değil,"
950 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,117162-175,"Kuzey, ",,,,,
100 TL,2,Sıfır Bina,185 m2,3. Kat,"2,200 TL",Eşyalı Değil,"
2,200 TL
",Merkezi (Pay Ölçer),15 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,18865-3358,"Güney, ",DENİZ PARK SİTESİ,,,,
125 TL,2,20 Yaşında,135 m2,Yüksek Giriş,"2,500 TL",Eşyalı Değil,"
1,800 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,69702-650,"Kuzey, ",,,,,
,1,10 Yaşında,105 m2,1. Kat,,Eşyalı Değil,"
775 TL
",Kombi,3 Katlı,Daire,,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,40243-7350,"Kuzey, ",,Uygun,Evet,,
770 TL,2,35 Yaşında,135 m2,Yüksek Giriş,"5,000 TL",Eşyalı,"
3,000 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2603-4049,"Kuzey, ",,,,,
325 TL,1,25 Yaşında,170 m2,3. Kat,,Eşyalı Değil,"
3,100 TL
",Merkezi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,114144-576,"Güney, ",,,,,
430 TL,1,24 Yaşında,130 m2,2. Kat,"1,650 TL",Eşyalı Değil,"
1,550 TL
",Merkezi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2263-1110,"Güney, ",,,,,
,1,14 Yaşında,50 m2,2. Kat,"3,500 TL",Eşyalı,"
3,500 TL
",Merkezi,6 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,91324-3451,,,,,,
,1,10 Yaşında,90 m2,3. Kat,850 TL,Eşyalı Değil,"
850 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,25673-6247,"Kuzey, ",,,,,
100 TL,1,2 Yaşında,125 m2,Kot 1,"2,500 TL",Eşyalı Değil,"
2,000 TL
",Kombi,4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,76287-1742,"Kuzey, ",,,,,
50 TL,1,20 Yaşında,75 m2,Kot 1,"2,500 TL",Eşyalı,"
1,250 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,102959-601,"Doğu, ",,,,,
50 TL,1,7 Yaşında,140 m2,2. Kat,"1,300 TL",Eşyalı Değil,"
1,300 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,22580-1997,"Kuzey, ",,,,,
600 TL,1,25 Yaşında,125 m2,2. Kat,"2,000 TL",Eşyalı Değil,"
2,000 TL
",Merkezi,10 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,46649-9185,"Güney, ",Evet (Site Adı Belirtilmemiş),,,,
"1,000 TL",2,15 Yaşında,250 m2,2. Kat,"13,500 TL",Eşyalı Değil,"
4,500 TL
",Merkezi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,1170-4909,"Kuzey, ",,,,,
50 TL,1,15 Yaşında,130 m2,Yüksek Giriş,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5338-6644,"Güney, ",,,,,
300 TL,1,22 Yaşında,95 m2,7. Kat,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Merkezi,15 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,26775-1980,"Kuzey, ",YEŞİL VADİ ,,,,
,1,20 Yaşında,150 m2,2. Kat,,Eşyalı Değil,"
2,850 TL
",Merkezi,4 Katlı,Daire,,3 + 1,Bugün,,,,Kiralık,16512-2106,,,,,,
30 TL,1,25 Yaşında,165 m2,En Üst Kat,"2,000 TL",Eşyalı Değil,"
1,500 TL
",Kombi,3 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,64404-1930,Güney,,,,,
60 TL,1,40 Yaşında,120 m2,2. Kat,"1,800 TL",Eşyalı Değil,"
1,800 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4209-1977,"Kuzey, ",,,,,
80 TL,1,15 Yaşında,115 m2,5. Kat,950 TL,Eşyalı Değil,"
950 TL
",Merkezi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,14994-11585,"Kuzey, ",YENİAY SİTESİ ,,,,
100 TL,1,30 Yaşında,115 m2,4. Kat,"1,400 TL",Eşyalı Değil,"
1,400 TL
",Kombi,8 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4181-321,"Güney, ",,,,,
,3,Sıfır Bina,164 m2,11. Kat,,Eşyalı Değil,"
 6,500 TL
",Merkezi,26 Katlı,Residence,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,2640-2471,,1071 çukurambar,,,,
30 TL,1,17 Yaşında,111 m2,3. Kat,750 TL,Eşyalı Değil,"
825 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,111476-521,"Kuzey, ",,,,,
,1,10 Yaşında,160 m2,Giriş Katı,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Kombi,5 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,47007-867,,Evet (Site Adı Belirtilmemiş),,,,
30 TL,1,10 Yaşında,90 m2,Yüksek Giriş,,Eşyalı,"
1,550 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,119882-848,"Güney, ",,,,,
285 TL,1,50 Yaşında,90 m2,Kot 1,"2,000 TL",Eşyalı Değil,"
1,250 TL
",Merkezi,3 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,,İkinci El,Kiralık,1135-1335,"Kuzey, ",,,,,
60 TL,1,35 Yaşında,120 m2,3. Kat,"1,900 TL",Eşyalı Değil,"
1,900 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4209-1984,"Kuzey, ",,,,,
50 TL,1,30 Yaşında,115 m2,2. Kat,"2,350 TL",Eşyalı Değil,"
2,350 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2533-2262,"Kuzey, ",,,,,
50 TL,1,15 Yaşında,140 m2,2. Kat,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,58364-3234,"Doğu, ",,,,,
,1,7 Yaşında,120 m2,1. Kat,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,5 Katlı,Daire,,3 + 1,Dün,,,,Kiralık,47158-1619,,,,,,
860 TL,2,3 Yaşında,144 m2,Ara Kat,"15,500 TL",Eşyalı,"
14,500 TL
",Merkezi,6 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4337-2640,Doğu,Evet (Site Adı Belirtilmemiş),,,,
25 TL,1,30 Yaşında,120 m2,2. Kat,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6266-6605,"Güney, ",,,,,
25 TL,1,15 Yaşında,100 m2,Yüksek Giriş,650 TL,Eşyalı Değil,"
650 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,117162-257,"Güney, ",,,,,
350 TL,2,15 Yaşında,150 m2,4. Kat,"5,000 TL",Eşyalı Değil,"
2,750 TL
",Kombi,9 Katlı,Daire,Boş,4 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,46993-852,"Güney, ",-,,,,
250 TL,1,30 Yaşında,120 m2,1. Kat,,Eşyalı Değil,"
1,800 TL
",Merkezi,3 Katlı,Daire,Ev Sahibi Oturuyor,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,2505-875,"Kuzey, ",,,,,
65 TL,1,38 Yaşında,135 m2,4. Kat,"1,550 TL",Eşyalı Değil,"
1,550 TL
",Kombi,4 Katlı,Daire,,3 + 1,Bugün,Doğalgaz,Kagir,İkinci El,Kiralık,3704-10694,Kuzey,,,,,
405 TL,1,35 Yaşında,120 m2,Giriş Katı,"1,650 TL",Eşyalı Değil,"
1,500 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Kagir,İkinci El,Kiralık,21161-2176,Doğu,,,,,
385 TL,1,25 Yaşında,125 m2,1. Kat,,Eşyalı,"
2,000 TL
",Merkezi,4 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,,İkinci El,Kiralık,102959-645,,,,,,
50 TL,1,30 Yaşında,130 m2,1. Kat,"3,000 TL",Eşyalı Değil,"
3,000 TL
",Kombi,4 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,73240-1651,"Kuzey, ",,,,,
,1,32 Yaşında,120 m2,2. Kat,,Eşyalı Değil,"
2,000 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,25300-1956,"Güney, ",,,,,
285 TL,1,25 Yaşında,120 m2,Yüksek Giriş,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Merkezi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17943-1379,Doğu,,,,,
200 TL,1,18 Yaşında,145 m2,3. Kat,"1,800 TL",Eşyalı Değil,"
1,700 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,110303-313,,,,,,
,7,15 Yaşında,"1,500 m2",,,Eşyalı Değil,"
30,000 TL
",Merkezi,4 Katlı,Bina,Kiracı Oturuyor,20 + 4,Bugün,Doğalgaz,Betonarme,,Kiralık,1170-4792,,,,,,
50 TL,1,30 Yaşında,95 m2,Teras Katı,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,3 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4666-972,"Kuzey, ",,,,,
,1,15 Yaşında,110 m2,Ara Kat,"6,750 TL",Eşyalı,"
6,750 TL
",Merkezi (Pay Ölçer),12 Katlı,Residence,,2 + 1,Bugün,,,,Kiralık,83743-307,,Mesa Koza Plaza,,,,
,1,8 Yaşında,50 m2,1. Kat,,Eşyalı Değil,"
2,500 TL
",Merkezi,300 Katlı,Daire,Boş,2 + 1,Bugün,,Betonarme,İkinci El,Kiralık,57374-895,"Güney, ",,,,,
50 TL,1,13 Yaşında,130 m2,1. Kat,"1,800 TL",Eşyalı Değil,"
1,800 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4110-2027,"Güney, ",,,,,
,1,2 Yaşında,70 m2,1. Kat,"4,700 TL",Eşyalı,"
4,000 TL
",Merkezi,6 Katlı,Daire,,1 + 1,Bugün,,,,Kiralık,4337-2527,Doğu,,,,,
50 TL,1,40 Yaşında,120 m2,4. Kat,"1,700 TL",Eşyalı Değil,"
1,500 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,,,,Kiralık,5934-2976,,,,,,
50 TL,1,30 Yaşında,80 m2,Teras Katı,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Kombi,4 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,4367-5129,"Kuzey, ",,,,,
25 TL,1,30 Yaşında,110 m2,Bahçe Katı,650 TL,Eşyalı Değil,"
650 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6266-6606,"Kuzey, ",,,,,
30 TL,1,30 Yaşında,95 m2,2. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Kombi,5 Katlı,Daire,Boş,2 + 1,Bugün,,,,Kiralık,6567-2614,"Doğu, ",,,,,
300 TL,1,1 Yaşında,85 m2,3. Kat,,Eşyalı,"
3,000 TL
",Merkezi (Pay Ölçer),39 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,13861-1813,"Güney, ",SİNPAŞ MARİNA,,,,
100 TL,1,5 Yaşında,135 m2,1. Kat,"6,400 TL",Eşyalı,"
3,200 TL
",Kombi,4 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,1170-4921,"Kuzey, ",,,,,
280 TL,1,40 Yaşında,100 m2,Yüksek Giriş,"2,000 TL",Eşyalı,"
2,000 TL
",Merkezi,3 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1124-5117,"Kuzey, ",,,,,
