Aidat,Banyo Sayısı,Bina Yaşı,Brüt / Net M2,Bulunduğu Kat,Depozito,Eşya Durumu,Fiyat,Isınma Tipi,Kat Sayısı,Konut Şekli,Kullanım Durumu,Oda + Salon Sayısı,Son Güncelleme Tarihi,Yakıt Tipi,Yapı Tipi,Yapının Durumu,İlan Durumu,İlan no,Cephe ,Site İçerisinde,Krediye Uygunluk,Takas,Tapu Durumu,Kira Getirisi
30 TL,1,15 Yaşında,120 m2,2. Kat,,Eşyalı Değil,"
1,150 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,121128-24,Güney,,,,,
40 TL,1,35 Yaşında,85 m2,Bahçe Katı,"1,150 TL",Eşyalı Değil,"
1,150 TL
",Kombi,3 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,9595-2051,"Güney, ",,,,,
170 TL,2,20 Yaşında,135 m2,2. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,9 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,59717-1862,"Güney, ",Evet (Site Adı Belirtilmemiş),,,,
,2,Sıfır Bina,130 m2,Ara Kat,,Eşyalı Değil,"
5,200 TL
",Merkezi,26 Katlı,Residence,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,2640-2472,,1071 çukurambar,,,,
25 TL,1,25 Yaşında,120 m2,Giriş Katı,800 TL,Eşyalı Değil,"
800 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1955-6323,"Kuzey, ",,,,,
440 TL,1,2 Yaşında,90 m2,1. Kat,"3,500 TL",Eşyalı Değil,"
2,300 TL
",Merkezi (Pay Ölçer),9 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,96629-543,Güney,SİNPAŞ MARİNA ANKARA,,,,
50 TL,1,17 Yaşında,150 m2,3. Kat,,Eşyalı Değil,"
1,850 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,,,,Kiralık,3240-12626,,,,,,
100 TL,1,3 Yaşında,110 m2,Giriş Katı,"2,000 TL",Eşyalı Değil,"
2,000 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,7092-1174,"Doğu, ",,Uygun,Hayır,Kat Mülkiyeti,"2,000 TL"
100 TL,1,8 Yaşında,135 m2,1. Kat,"1,450 TL",Eşyalı Değil,"
1,450 TL
",Merkezi (Pay Ölçer),3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4937-3623,Doğu,,,,,
400 TL,1,60 Yaşında,96 m2,En Üst Kat,"1,400 TL",Eşyalı Değil,"
1,400 TL
",Merkezi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Yığma,İkinci El,Kiralık,15042-1345,"Doğu, ",EMEKLİ SUBAY EVLERİ,,,,
360 TL,1,40 Yaşında,125 m2,2. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,,İkinci El,Kiralık,113552-199,,,,,,
50 TL,1,40 Yaşında,66 m2,2. Kat,"2,500 USD",Eşyalı,"
1,475 TL
",Kombi,4 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,3897-623,"Güney, ",,,,,
350 TL,1,5 Yaşında,170 m2,Bahçe Katı,"9,000 TL",Eşyalı,"
8,500 TL
",Merkezi (Pay Ölçer),4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,42663-3396,,,,,,
,1,1 Yaşında,60 m2,Yüksek Giriş,,Eşyalı,"
3,000 TL
",Merkezi,2 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,48831-2110,Güney,,,,,
350 TL,1,27 Yaşında,115 m2,9. Kat,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Merkezi,9 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,10495-6836,"Güney, ",YOL-İŞ SİTESİ,,,,
560 TL,2,1 Yaşında,115 m2,Ara Kat,"4,000 TL",Eşyalı Değil,"
4,000 TL
",Merkezi,20 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4337-2639,Doğu,Başkent Emlak Konutları,,,,
400 TL,1,32 Yaşında,130 m2,Yüksek Giriş,"3,000 TL",Eşyalı,"
2,500 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,,,,Kiralık,115697-209,Doğu,,,,,
40 TL,1,19 Yaşında,140 m2,1. Kat,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,3581-3682,Batı,,,,,
25 TL,1,25 Yaşında,120 m2,2. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1955-6302,"Kuzey, ",,,,,
,1,35 Yaşında,85 m2,2. Kat,,Eşyalı,"
1,250 TL
",Kombi,4 Katlı,Daire,Belirtilmemiş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,90199-1500,"Kuzey, ",,,,,
50 TL,1,25 Yaşında,100 m2,Yüksek Giriş,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,46649-9229,"Güney, ",,,,,
100 TL,1,2 Yaşında,70 m2,Bahçe Katı,"2,000 TL",Eşyalı Değil,"
2,000 TL
",Kombi,5 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,4209-1971,"Kuzey, ",,,,,
80 TL,1,15 Yaşında,145 m2,2. Kat,"1,800 TL",Eşyalı Değil,"
1,800 TL
",Kombi,4 Katlı,Daire,Belirtilmemiş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,59717-1901,"Güney, ",,,,,
150 TL,2,11 Yaşında,180 m2,5. Kat,"3,000 TL",Eşyalı Değil,"
3,000 TL
",Kombi,7 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,91324-3435,"Kuzey, ",,,,,
50 TL,2,13 Yaşında,130 m2,1. Kat,"1,550 TL",Eşyalı Değil,"
1,450 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,7015-1435,Batı,,,,,
50 TL,1,30 Yaşında,110 m2,1. Kat,"1,150 TL",Eşyalı Değil,"
1,150 TL
",Kombi,1 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,26568-3435,"Güney, ",,,,,
50 TL,1,15 Yaşında,125 m2,1. Kat,"1,500 TL",Eşyalı Değil,"
 1,350 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5338-6671,"Güney, ",,,,,
25 TL,1,30 Yaşında,125 m2,2. Kat,"2,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,121003-366,"Kuzey, ",,,,,
70 TL,1,15 Yaşında,125 m2,2. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,117162-187,"Doğu, ",,,,,
,1,39 Yaşında,120 m2,3. Kat,,Eşyalı Değil,"
900 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,,,,Kiralık,77383-511,"Güney, ",,,,,
"1,000 TL",2,12 Yaşında,220 m2,5. Kat,"15,000 TL",Eşyalı Değil,"
7,500 TL
",Merkezi,9 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16177-1491,"Güney, ",KEYVANPLATİNEVLER,,,,
260 TL,2,Sıfır Bina,90 m2,7. Kat,"2,250 TL",Eşyalı Değil,"
2,250 TL
",Merkezi (Pay Ölçer),17 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,39997-4037,Güney,Evet (Site Adı Belirtilmemiş),,,,
,1,2 Yaşında,150 m2,9. Kat,,Eşyalı Değil,"
1,950 TL
",Kombi,9 Katlı,Daire,,3 + 1,Dün,,,,Kiralık,41594-1553,,Evet (Site Adı Belirtilmemiş),,,,
230 TL,2,5 Yaşında,175 m2,3. Kat,"2,750 TL",Eşyalı Değil,"
2,750 TL
",Merkezi (Pay Ölçer),11 Katlı,Daire,Belirtilmemiş,4 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,2626-9261,"Güney, ",,,,,
400 TL,1,30 Yaşında,120 m2,2. Kat,"1,750 TL",Eşyalı Değil,"
1,750 TL
",Merkezi,4 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,42363-894,"Güney, ",,,,,
360 TL,2,30 Yaşında,150 m2,2. Kat,"2,750 TL",Eşyalı Değil,"
2,750 TL
",Merkezi,3 Katlı,Daire,Kiracı Oturuyor,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1124-5127,"Güney, ",,,,,
30 TL,1,17 Yaşında,100 m2,1. Kat,"1,700 TL",Eşyalı,"
1,700 TL
",Kombi,11 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,96259-338,"Güney, ",,,,,
30 TL,1,13 Yaşında,110 m2,1. Kat,950 TL,Eşyalı Değil,"
950 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,95382-5433,"Güney, ",,,,,
,1,30 Yaşında,50 m2,Giriş Katı,850 TL,Eşyalı,"
850 TL
",Belirtilmemiş,4 Katlı,Daire,Boş,1 + 1,Bugün,Elektrik,Betonarme,İkinci El,Kiralık,64462-1222,,,,,,
,1,3 Yaşında,125 m2,Yüksek Giriş,,Eşyalı Değil,"
2,900 TL
",Merkezi (Pay Ölçer),3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,3584-25946,,,,,,
700 TL,3,17 Yaşında,330 m2,3. Kat,"11,000 TL",Eşyalı Değil,"
5,500 TL
",Kombi,3 Katlı,Daire,Boş,6 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,47587-966,,,,,,
50 TL,1,20 Yaşında,90 m2,Kot 1,"2,000 TL",Eşyalı Değil,"
1,250 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2430-8852,"Kuzey, ",,,,,
20 TL,1,25 Yaşında,80 m2,4. Kat,600 TL,Eşyalı Değil,"
1,000 TL
",Kombi,4 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,7464-6195,"Güney, ",EMLAK BANK KONUTLARI,,,,
100 TL,2,13 Yaşında,140 m2,2. Kat,"1,650 TL",Eşyalı Değil,"
1,650 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5978-5741,Güney,,,,,
500 TL,1,30 Yaşında,95 m2,Bahçe Katı,"1,350 TL",Eşyalı Değil,"
1,300 TL
",Merkezi,4 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,119128-119,,,,,,
,1,20 Yaşında,95 m2,2. Kat,950 TL,Eşyalı Değil,"
950 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,121128-246,Güney,,,,,
50 TL,1,12 Yaşında,120 m2,4. Kat,825 TL,Eşyalı Değil,"
825 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,89354-630,Batı,,,,,
80 TL,1,15 Yaşında,75 m2,Bahçe Katı,"1,800 TL",Eşyalı Değil,"
850 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,10115-1164,,,,,,
50 TL,1,15 Yaşında,140 m2,1. Kat,"1,400 TL",Eşyalı Değil,"
1,400 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,94433-456,"Güney, ",,,,,
30 TL,1,20 Yaşında,128 m2,Yüksek Giriş,"1,400 TL",Eşyalı Değil,"
1,400 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,59717-1848,"Güney, ",,,,,
200 TL,2,15 Yaşında,140 m2,1. Kat,"1,500 TL",Eşyalı Değil,"
1,200 TL
",Kombi,8 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5338-6665,"Güney, ",DİGER,,,,
25 TL,1,30 Yaşında,120 m2,3. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6266-6602,"Kuzey, ",,,,,
210 TL,1,13 Yaşında,125 m2,1. Kat,"1,450 TL",Eşyalı Değil,"
1,450 TL
",Kombi,7 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,79831-985,"Güney, ",SPOR SİTESİNDE,,,,
240 TL,2,12 Yaşında,160 m2,7. Kat,,Eşyalı Değil,"
2,800 TL
",Kombi,8 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,80318-226,,,,,,
30 TL,1,32 Yaşında,85 m2,3. Kat,"1,200 TL",Eşyalı,"
1,200 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,95382-5447,"Güney, ",,,,,
,1,35 Yaşında,80 m2,2. Kat,,Eşyalı Değil,"
1,500 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,1170-4883,"Güney, ",,,,,
980 TL,2,17 Yaşında,190 m2,9. Kat,"11,000 TL",Eşyalı,"
11,000 TL
",Merkezi,12 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1248-1812,"Kuzey, ",Evet (Site Adı Belirtilmemiş),,,,
250 TL,1,35 Yaşında,130 m2,2. Kat,"2,200 TL",Eşyalı Değil,"
2,200 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4209-1934,"Güney, ",,,,,
50 TL,1,32 Yaşında,40 m2,Yüksek Giriş,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Merkezi,3 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,,,Kiralık,115697-197,Güney,,,,,
700 TL,2,8 Yaşında,160 m2,10. Kat,"15,000 TL",Eşyalı Değil,"
7,250 TL
",Merkezi (Pay Ölçer),30 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4537-8473,"Kuzey, ",PARKORAN,,,,
50 TL,2,10 Yaşında,160 m2,3. Kat,"1,800 TL",Eşyalı Değil,"
1,800 TL
",Kombi,5 Katlı,Daire,Boş,4 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,64175-1188,"Güney, ",,,,,
100 TL,1,15 Yaşında,135 m2,4. Kat,"1,850 TL",Eşyalı Değil,"
1,850 TL
",Kombi,4 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,94433-459,"Doğu, ",,,,,
280 TL,2,7 Yaşında,180 m2,2. Kat,"2,500 TL",Eşyalı Değil,"
1,800 TL
",Merkezi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,19464-3032,"Güney, ",,,,,
250 TL,1,25 Yaşında,110 m2,11. Kat,"2,000 TL",Eşyalı Değil,"
2,050 TL
",Merkezi,11 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,96629-480,"Güney, ",Evet (Site Adı Belirtilmemiş),,,,
50 TL,2,25 Yaşında,130 m2,En Üst Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,26568-3434,"Güney, ",,,,,
110 TL,1,1 Yaşında,44 m2,7. Kat,"1,400 TL",Eşyalı,"
1,400 TL
",Merkezi (Pay Ölçer),12 Katlı,Daire,Boş,1 + 0,Dün,Elektrik,Betonarme,İkinci El,Kiralık,2626-8916,Güney,Evet (Site Adı Belirtilmemiş),,,,
75 TL,1,20 Yaşında,125 m2,3. Kat,"2,500 TL",Eşyalı Değil,"
1,950 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5042-3008,Batı,,,,,
120 TL,1,8 Yaşında,96 m2,1. Kat,"1,000 TL",Eşyalı,"
1,000 TL
",Merkezi (Pay Ölçer),12 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,113811-483,,Yapracık TOKİ 2. Bölge,,,,
1 TL,1,20 Yaşında,100 m2,Bahçe Katı,"2,300 TL",Eşyalı,"
2,300 TL
",Merkezi,30 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,14436-3087,,,,,,
280 TL,1,1 Yaşında,65 m2,21 ve üzeri,"2,500 TL",Eşyalı Değil,"
2,000 TL
",Merkezi (Pay Ölçer),39 Katlı,Daire,Kiracı Oturuyor,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16177-1231,Batı,SİNPAŞ MARİNA TOWER,,,,
20 TL,1,35 Yaşında,90 m2,1. Kat,"2,400 TL",Eşyalı Değil,"
1,350 TL
",Kombi,3 Katlı,Daire,Boş,1 + 1,Dün,Doğalgaz,Kagir,İkinci El,Kiralık,2120-333,Batı,,,,,
20 TL,1,12 Yaşında,100 m2,Giriş Katı,875 TL,Eşyalı Değil,"
875 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,95979-778,"Güney, ",,,,,
140 TL,1,22 Yaşında,125 m2,3. Kat,,Eşyalı Değil,"
1,750 TL
",Kombi,10 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,40002-269,Doğu,murat sitesi,,,,
170 TL,1,25 Yaşında,110 m2,Yüksek Giriş,"1,950 TL",Eşyalı Değil,"
1,950 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,47587-933,,,,,,
450 TL,1,20 Yaşında,165 m2,1. Kat,,Eşyalı,"
2,500 TL
",Merkezi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4414-627,"Güney, ",,,,,
100 TL,1,22 Yaşında,120 m2,Bahçe Katı,"4,000 TL",Eşyalı Değil,"
2,000 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4209-1923,"Güney, ",,,,,
60 TL,1,45 Yaşında,85 m2,3. Kat,"1,800 TL",Eşyalı,"
1,800 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,4209-1952,"Güney, ",,,,,
850 TL,1,45 Yaşında,175 m2,3. Kat,,Eşyalı Değil,"
 2,500 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,3704-10695,Batı,,,,,
120 TL,1,15 Yaşında,60 m2,Kot 1,"1,650 TL",Eşyalı,"
1,650 TL
",Kombi,4 Katlı,Daire,Kiracı Oturuyor,1 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,1170-4945,Kuzey,,,,,
30 TL,1,20 Yaşında,120 m2,1. Kat,"1,200 TL",Eşyalı Değil,"
1,100 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,46649-9196,"Güney, ",,,,,
681 TL,2,1 Yaşında,135 m2,Ara Kat,"4,500 TL",Eşyalı Değil,"
4,500 TL
",Merkezi,15 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,4337-2637,"Güney, ",Başkent Emlak Konutları,,,,
30 TL,1,30 Yaşında,110 m2,Bahçe Katı,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,,,Kiralık,56007-2314,"Kuzey, ",,,,,
270 TL,1,14 Yaşında,128 m2,8. Kat,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Kombi,9 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,34705-650,"Doğu, ",ATAKENT 2 CUMHURİYET SİTESİ,,,,
,1,15 Yaşında,25 m2,1. Kat,"1,800 TL",Eşyalı Değil,"
2,000 TL
",Merkezi,4 Katlı,Daire,,1 + 0,Bugün,Elektrik,Betonarme,,Kiralık,57374-1197,Doğu,,,,,
175 TL,1,30 Yaşında,95 m2,4. Kat,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,4 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,4367-5157,"Güney, ",,,,,
113 TL,1,Sıfır Bina,100 m2,Giriş Katı,,Eşyalı Değil,"
700 TL
",Merkezi (Pay Ölçer),6 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,8316-1908,"Güney, ",saraycık toki,,,,
100 TL,1,20 Yaşında,90 m2,Yüksek Giriş,"1,800 TL",Eşyalı,"
1,850 TL
",Kombi,3 Katlı,Daire,,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,57374-1101,"Güney, ",,,,,
